paper_id,topic,canonical_title,authors,year,venue,doi,arxiv_id,url,source_type,claim_supported,section_or_page,search_query,search_date,retraction_checked,satoshi_state,musashi_state,harvey_state,notes
P1,volunteer computing,BOINC: A System for Public-Resource Computing and Storage,"Anderson, David P.",2004,Fifth IEEE/ACM International Workshop on Grid Computing,10.1109/GRID.2004.14,,https://boinc.berkeley.edu/grid_paper_04.pdf,primary paper,P1 related work: prior decentralized compute without verifiable optimization lineage,Abstract; Sections 1-3; pages 4-10,title and author; official BOINC publication; Crossref DOI,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Primary PDF and Crossref metadata opened; BOINC supports redundant result validation but not DOIN-style evolutionary lineage."
P1,blockchain federated learning,Blockchained On-Device Federated Learning,"Kim, Hyesung; Park, Jihong; Bennis, Mehdi; Kim, Seong-Lyun",2020,IEEE Communications Letters 24(6),10.1109/LCOMM.2019.2921755,1808.03949,https://arxiv.org/abs/1808.03949,primary paper,P1 related work: chain-coordinated learning verifies model updates not evolutionary candidate lifecycles,Abstract; Section II BlockFL Architecture,title and DOI; IEEE metadata; arXiv primary manuscript,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Primary manuscript and DOI metadata opened; use only for architecture-level contrast."
P1,proof of learning,Proof-of-Learning: Definitions and Practice,"Jia, Hengrui; Yaghini, Mohammad; Choquette-Choo, Christopher A.; Dullerud, Natalie; Thudi, Anvith; Chandrasekaran, Varun; Papernot, Nicolas",2021,IEEE Symposium on Security and Privacy,10.1109/SP40001.2021.00106,2103.05633,https://arxiv.org/abs/2103.05633,primary paper,P1 related work: verifying training work versus DOIN verifying optimization improvements,Sections IV-VII; especially Section V-C Verification,title and DOI; IEEE metadata; arXiv primary manuscript,2026-08-01,checked_2026-08-01_no_retraction_later_critiques_noted,candidate_unverified,verified,pending,"Primary paper verified; later adversarial critiques exist and must accompany any security comparison."
P1,consensus,Practical Byzantine Fault Tolerance,"Castro, Miguel; Liskov, Barbara",1999,Third Symposium on Operating Systems Design and Implementation,,,https://www.usenix.org/conference/osdi-99/presentation/practical-byzantine-fault-tolerance,primary paper,P1 threat-model boundary: DOIN does not claim Byzantine fault tolerance,Abstract; system model; algorithm sections,title and authors; official USENIX proceedings page,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Verified only as a boundary citation; it provides no evidence that DOIN is Byzantine tolerant."
P1,blockchain,Bitcoin: A Peer-to-Peer Electronic Cash System,"Nakamoto, Satoshi",2008,self-published white paper,,,https://bitcoin.org/bitcoin.pdf,primary paper,P1 related work: proof-of-work and network-chain ancestry,Sections 4 Proof-of-Work and 5 Network,title; canonical primary PDF,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Primary PDF opened; cite protocol ancestry without implying identical fork-choice or finality semantics."
P1,distributed EC,Parallelism and Evolutionary Algorithms,"Alba, Enrique; Tomassini, Marco",2002,IEEE Transactions on Evolutionary Computation 6(5),10.1109/TEVC.2002.800880,,https://doi.org/10.1109/TEVC.2002.800880,survey,P1 related work: distributed populations and migration are prior art,Abstract; distributed and island-model taxonomy,title and DOI; Crossref metadata,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Bibliographic metadata verified; supporting scope is broad migration prior art rather than DOIN protocol equivalence."
P1,proof of useful work,Proofs of Useful Work,"Ball, Marshall; Rosen, Alon; Sabin, Manuel; Vasudevan, Prashant Nalini",2017,IACR Cryptology ePrint Archive 2017/203,,,https://eprint.iacr.org/2017/203,primary paper,P1 related work: useful-work consensus alternatives,Abstract; Sections 1-1.2,title and identifier; primary ePrint record and manuscript notice,2026-08-01,superseded_by_eprint_2018_559,candidate_unverified,rejected,pending,"Rejected for citation in its seeded form: the authors state that the original definition admitted a generic naive construction and direct readers to the updated ePrint 2018/559."
P1,content addressing,Kademlia: A Peer-to-Peer Information System Based on the XOR Metric,"Maymounkov, Petar; Mazieres, David",2002,First International Workshop on Peer-to-Peer Systems,10.1007/3-540-45748-8_5,,https://pdos.csail.mit.edu/~petar/papers/maymounkov-kademlia.pdf,primary paper,P1 artifact plane: distributed lookup and content-location background,Abstract; Sections 1-2; lookup protocol,title and DOI; author-hosted primary PDF; Springer metadata,2026-08-01,checked_2026-08-01_no_notice,candidate_unverified,verified,pending,"Primary manuscript opened; this supports DHT lookup ancestry only and not artifact integrity by itself."
P2,backtest overfitting,The Probability of Backtest Overfitting,"Bailey, D. H.; Borwein, J.; Lopez de Prado, M.; Zhu, Q. J.",2016,Journal of Computational Finance,,,,primary paper,P2 motivation: selection under multiple testing; why validation-only selection and protected test,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
P2,backtest overfitting,Pseudo-Mathematics and Financial Charlatanism,"Bailey, D. H.; Borwein, J.; Lopez de Prado, M.; Zhu, Q. J.",2014,Notices of the AMS,,,,primary paper,P2 motivation: reporting standards for financial claims,,seed:prior-knowledge,2026-07-31,no,candidate_unverified,pending,pending,
